City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Gold Coast,AU,78.01,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
618,Djibo,BF,70.3,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
620,Bonthe,SL,77.32,clear sky,7.5264,-12.505,Bonthe Holiday Village
621,Noumea,NC,82.4,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
623,Winneba,GH,80.6,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
625,Charters Towers,AU,76.08,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
627,Bima,ID,78.42,overcast clouds,-8.4667,118.7167,Lambitu Hotel
628,Basco,PH,71.37,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
630,Ulladulla,AU,80.6,clear sky,-35.35,150.4667,Sandpiper Motel
631,Camocim,BR,78.26,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
639,Cap Malheureux,MU,75.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
641,Resistencia,AR,84.2,light rain,-27.4606,-58.9839,Niyat Urban Hotel
642,Porto Novo,BJ,82.4,mist,6.4965,2.6036,Tour Eiffel Hotel Benin
648,Pampierstad,ZA,75.36,overcast clouds,-27.7832,24.6877,BAROLONG METHODIST CHURCH
650,Trairi,BR,80.13,overcast clouds,-3.2778,-39.2689,janelas do mar
652,Vanimo,PG,81.73,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
653,Corn Island,NI,80.71,scattered clouds,12.1694,-83.0418,Big Fish Guest House
656,Bowen,AU,78.8,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
664,Santa Cruz,BO,82.4,scattered clouds,-17.8,-63.1667,Hotel Cortez
666,Port Hedland,AU,80.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
668,Malpe,IN,75.2,fog,13.35,74.7167,Hotel Sri Krishna Residency
672,Gawler,AU,84.99,light rain,-34.6,138.7333,Eagle Foundry Bed & Breakfast
673,Bandarbeyla,SO,74.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
